index,n,epsilon,d,m,k,t,t_multiplier,repeat,time_mu_s,model_error
202,1000,0.50,500,2,17,0.7500,1.5,2,343.00,0.052280
203,1000,0.50,500,2,17,0.7500,1.5,3,347.00,0.968949
204,1000,0.50,500,2,17,0.7500,1.5,4,335.00,0.715600
205,1000,0.50,500,2,17,0.7500,1.5,5,325.00,1.090905
206,1000,0.50,500,2,17,0.7500,1.5,6,336.00,0.392074
207,1000,0.50,500,2,17,0.7500,1.5,7,336.00,0.120250
208,1000,0.50,500,2,17,0.7500,1.5,8,325.00,0.203350
209,1000,0.50,500,2,17,0.7500,1.5,9,385.00,0.150844
210,1000,0.50,500,2,17,0.7500,1.5,10,332.00,0.686926
211,1000,0.50,500,2,17,0.7500,1.5,11,324.00,0.067419
212,1000,0.50,500,2,17,0.7500,1.5,12,354.00,0.097038
213,1000,0.50,500,2,17,0.7500,1.5,13,391.00,0.068036
214,1000,0.50,500,2,17,0.7500,1.5,14,359.00,0.151514
215,1000,0.50,500,2,17,0.7500,1.5,15,377.00,0.108789
216,1000,0.50,500,2,17,0.7500,1.5,16,368.00,2.911099
217,1000,0.50,500,2,17,0.7500,1.5,17,416.00,0.195255
218,1000,0.50,500,2,17,0.7500,1.5,18,341.00,0.232180
219,1000,0.50,500,2,17,0.7500,1.5,19,339.00,0.819050
220,1000,0.50,500,2,17,0.7500,1.5,20,371.00,0.336895
221,1000,0.50,500,2,17,0.7500,1.5,21,349.00,0.518800
222,1000,0.50,500,2,17,0.7500,1.5,22,358.00,0.269830
223,1000,0.50,500,2,17,0.7500,1.5,23,333.00,0.585891
224,1000,0.50,500,2,17,0.7500,1.5,24,355.00,0.245956
225,1000,0.50,500,2,17,0.7500,1.5,25,361.00,0.940701
226,1000,0.50,500,2,17,0.7500,1.5,26,362.00,0.066293
227,1000,0.50,500,2,17,0.7500,1.5,27,355.00,0.450984
228,1000,0.50,500,2,17,0.7500,1.5,28,348.00,2.346365
229,1000,0.50,500,2,17,0.7500,1.5,29,322.00,3.891138
