index,n,epsilon,d,m,k,t,repeat,time_mu_s,model_error
424,1000,0.50,500,2,50,1.0152,24,957.00,0.483805
425,1000,0.50,500,2,50,0.9806,25,1028.00,0.427609
426,1000,0.50,500,2,50,0.9848,26,1028.00,1.048107
427,1000,0.50,500,2,50,0.9518,27,1014.00,0.048820
428,1000,0.50,500,2,50,0.9621,28,1033.00,0.110020
429,1000,0.50,500,2,50,1.0365,29,992.00,0.390960
430,1000,0.50,500,2,50,0.9489,30,935.00,0.364028
431,1000,0.50,500,2,50,1.0068,31,984.00,0.389337
432,1000,0.50,500,2,50,0.9917,32,1021.00,0.319369
433,1000,0.50,500,2,50,0.9605,33,974.00,0.338107
434,1000,0.50,500,2,50,0.9962,34,992.00,0.542764
435,1000,0.50,500,2,50,1.0262,35,960.00,0.090202
436,1000,0.50,500,2,50,0.9768,36,959.00,0.089516
437,1000,0.50,500,2,50,1.0046,37,1006.00,0.381539
438,1000,0.50,500,2,50,0.9498,38,1007.00,0.128026
439,1000,0.50,500,2,50,1.0339,39,44.00,0.203745
440,1000,0.50,500,2,50,0.9750,40,984.00,0.038551
441,1000,0.50,500,2,50,0.9794,41,958.00,0.695594
442,1000,0.50,500,2,50,0.9852,42,1050.00,0.158545
443,1000,0.50,500,2,50,0.9556,43,960.00,0.124509
444,1000,0.50,500,2,50,0.9190,44,956.00,0.133560
445,1000,0.50,500,2,50,1.0065,45,942.00,0.535747
